NID	CHN	ETCM	TCMID	SYM	TCMSP	PINYIN	LATIN	TYPE	FAMILY_CHN	FAMILY_ENG	Specifications	Property_CHN	Property_Eng	Flavor_CHN	Flavor_ENG	Meridian_Tropism_CHN	Meridian_Tropism_ENG	Indication_CHN	Indication_ENG	English_Name	Class_Chinese	UsePart	Syndromes	itcm
7751	牛白藤					NIU BAI TENG	Hedyotis hedyotidea DC.	Plant medicine	茜草科	Rubiaceae		凉	Cool	甘、淡	Sweet, Light	肺、肝、肾	Lung, Liver, Kidney	清热解暑，祛风湿，续筋骨。	Clearing away heat and relieving summer heat, dispelling wind-dampness, renewing muscles and bones.				Anti-stomach ulcer effect.	itcm_h_7751
7752	山橘					SHAN JU	Fortunella hindsii（Champ.）Swingle[Sclerostylis hindsii?Champion]	Plant medicine	芸香科	Rutaceae		温	Warm	辛	Pungent			宣肺，止咳，散瘀消肿。	Dispelling the lungs, relieving cough, dissipating blood stasis and swelling.					itcm_h_7752
7753	大青盐					DA?QING YAN						寒	Cold	咸	Salty	心、肾、膀胱	Heart, Kidney, Bladder	泻热，凉血，明目，润燥之功效。	Purge heat, cool blood, improve eyesight, moisten dryness.					itcm_h_7753
7754	猪胆膏					ZHU DAN GAO																		itcm_h_7754
7755	新阿胶					XIN?E?JIAO																		itcm_h_7755
7756	蛇胆（乌风蛇）					SHE?DAN （ WU FENG?SHE?）	Zaocys dhumnades Contor	Animal medicine	游蛇科	Colubridae		凉	Cool	甘、微苦	Sweet、Slightly bitter			清热解毒，化痰镇痉。	Clears heat and detoxifies, resolves phlegm and relieves spasm.					itcm_h_7756
7757	片仔癀					PIAN?ZAI?HUANG																		itcm_h_7757
7758	鳖甲胶（中华鳖）					BIE JIA JIAO （ ZHONG HUA BIE ）	Trionyx Sinensis	Animal medicine	鳖科	Trionychidae						肺；肝；肾	Lung; Liver; Kidney	滋阴，补血，退热，消瘀。	Nourishes yin, nourishes blood, reduces fever, and eliminates blood stasis.	Soft-shell Turtle				itcm_h_7758
7759	水蛙					SHUI WA																		itcm_h_7759
7760	瓜萎皮					GUA WEI PI	Trichosanthes kirilowii	Plant medicine	葫芦科	Cucurbitaceae								清肺化痰，润肠通便。	To clear lung and transform phlegm, lubricate intestines and free stool.			seed	Phlegm-heat cough, lung vacuity dry cough, intestinal dry and constipation, swelling toxin of welling abscess and sore.	itcm_h_7760
7761	乌灵参					WU LING?CAN		Fungal medicine				平		甘				补肾健脑，养心安神	Nourishes the kidney and brain, nourishes the heart and calms the mind					itcm_h_7761
7762	人参					REN?SHEN	Panax ginseng C. A. Mey.	Plant medicine	五加科	Araliaceae		温	Warm	甘,苦	sweet,bitter	脾,肺,心,肾	Spleen, lung, heart, kidney	大补,元气,复脉,固脱,补脾,益肺,生津,养血,安神,益智	Tonic, vitality, rejuvenation, fixation, nourish the spleen, nourish the lungs, nourish fluid, nourish blood, calm the nerves, nourish the mind					itcm_h_7762
7763	西洋参					XI YANG?SHEN	Panax quinque folium L.	Plant medicine	五加科	Araliaceae		凉	Cool	甘,苦	sweet,bitter	心,肺,肾	Heart, lung, kidney	补气,养阴,清热,生津	To invigorate qi, nourish yin, clear away heat, promote body fluid					itcm_h_7763
7764	大果木姜子					DA?GUO MU JIANG ZI	Litsea lancilimba Merr.	Plant medicine	樟科	Lauraceae														itcm_h_7764
7765	小叶黄杨					XIAO?YE?HUANG YANG	Buxus sinica?(Rehd. et Wils.) Cheng subsp.?sinica?var.?parvifolia?M. Cheng	Plant medicine	黄杨科	Buxaceae													The soaking liquid of the medicine has good curative effect on the treatment of early syphilis, vaginal anti-inflammatory and vaginal contraction. The alkaloid components were studied and found to have a good effect on angina pectoris, arrhythmia and cardiac insufficiency. Other studies have shown that the drug treats skin diseases such as erythema nodosum, psoriasis, urticaria, and can also treat diabetic foot infections.	itcm_h_7765
7766	鹿心					LU XIN		Animal medicine										养气补血、安神、气血两亏、心忙心跳、风湿性心脏病、心绞痛。益气养血。镇静安神。	Nourishes qi and nourishes blood, calms the nerves, depletion of qi and blood, busy heartbeat, rheumatic heart disease, angina pectoris. Nourishes Qi and nourishes blood. Calm down.				Among them, superoxide dismutase (SOD) and glutathione peroxidase (GSH) can eliminate oxygen free radicals in the body; vitamin E can protect cell membranes; cobalt and vitamin B12 can stimulate bone marrow hematopoiesis, and copper forms cerulis in the body Protein, promote the absorption and transport of iron; and phosphatidamide in deer heart can inhibit the activity of MAO-B and reduce the formation of free radicals. At the same time, the peptides in the deer heart can regulate cardiac dysfunction, activate blood circulation, promote blood circulation, and supplement the motive force of the heart muscle, so as to achieve the effect of maintaining the heart.	itcm_h_7766
7767	槐米					HUAI MI	Flos Sophorae Immaturus	Plant medicine	豆科	Fabaceae								凉血止血、清热泻火	Cooling blood to stop bleeding, clearing heat and purging fire			flos	1. Quercetin can significantly inhibit the swelling degree of model rats, reduce the inflammatory response, and reduce the levels of inflammatory factors IL-1β, COX-2 and NO; it can also increase the levels of SOD, GSH-PX and other indicators in the blood, and reduce oxidation in the body. degree, thus confirming that quercetin has a strong anti-inflammatory effect. 2. Quercetin can increase the proliferation of cells induced by H2O2, and can increase the content of antioxidant enzyme SOD. Quercetin has a certain antioxidant effect. 3. Sophora japonica extract may achieve its anti-tumor effect by down-regulating the expression level of proliferating cell nuclear antigen PCNA in tumors, thereby reducing the proliferative activity of tumor cells. 4. The antibacterial effect of Sophora japonica oil (the main component is hexadecanoic acid), 5. Quercetin-3-galactoside and rutin have significant central analgesic effects, and it is concluded that rutin has a central analgesic effect. The mechanism of pain action may be related to calcium antagonism.	itcm_h_7767
7768	藤合欢					TENG?HE?HUAN		Plant medicine												Celastri Orbiculati Fructus	安神药			itcm_h_7768
7769	黑顺片					HEI SHUN PIAN	Aconitum carmichaelii Debx.	Plant medicine	毛茛科	Ranunculaceae		热	Hot	辛,甘	pungent,sweet	心,肾,脾	Heart, kidney, spleen	回阳,救逆,补火,助阳,散寒,止痛	Restore yang, save adversity, replenish fire, help yang, dispel cold, relieve pain					itcm_h_7769
7770	过江龙					GUO JIANG LONG	Diphasiastrumcomplanatum(L.)Holub	Plant medicine	石松科	Lycopodiaceae		温	Warm	辛、苦	Pungent、Bitter	肝、膀胱	Liver, Bladder	祛风胜湿；舒筋活络；散瘀止痛；利尿。	Dispel wind and overcome dampness; relax tendons and activate collaterals; disperse blood stasis and relieve pain; diuretic.			spore		itcm_h_7770
7771	横经席					HENG JING XI	Calophyllum membranaceum Gardn. et?	Plant medicine	滕黄科	Guttiferae		平	Neutral	微苦	Slightly bitter			祛风湿，壮筋骨，活血止痛。	Dispel rheumatism, strengthen muscles and bones, activate blood and relieve pain.			Radix and folium		itcm_h_7771
7772	九龙藤					JIU LONG TENG	Bauhinia championii (Benth.) Benth.	Plant medicine	豆科	Fabaceae		平	Neutral	苦、辛	Bitter、Pungent			祛风，去瘀，止痛。	Dispel wind, remove blood stasis, relieve pain.					itcm_h_7772
7773	碎骨木					SUI GU MU	Ilex rotunda Thunb.	Plant medicine	冬青科	Aquifoliaceae		寒	Cold	苦	Bitter			清热解毒，利湿，止痛。	Clearing away heat and detoxifying, removing dampness and relieving pain.			radix	The bark contains flavonoid glycosides, phenols, tannins, triterpenoid glycosides, and β-aromatic resin alcohol, β-sitosterol and stearic acid are isolated. The leaves contain flavonoid glycosides, phenols, amino acids, sugars, and triterpenes. The seeds contain oleanolic acid and iron oleic acid.	itcm_h_7773
7774	鹰不扑					YING BU PU	Aralia armata?(Wall.) Seem.	Plant medicine	五加科	Araliaceae		平	Neutral	苦、辛	Bitter、Pungent	肝、胃	liver, stomach	散瘀，祛风，利湿，解毒。	Dispelling blood stasis, expelling wind, dampness, detoxification.				Anti-stomach ulcer effect.	itcm_h_7774
7775	藿香					HUO XIANG	Agastache rugosa?(Fisch. et Mey.) O. Ktze.	Plant medicine	唇形科	Lamiaceae		微温	Slightly Warm	辛	Pungent	肺、脾、胃	Lungs, spleen, stomach	快气，和中，辟秽，祛湿。	Fasten Qi, harmonize, dispel foulness, and dispel dampness.		芳香化湿药	herba	The whole plant contains 0.5% aromatic volatile oil, mainly methyl piperonol (about 80%), limonene, α-pinene and β-pinene, p-cymene, linalool, I-syringene, etc. It has a certain inhibitory effect on a variety of pathogenic fungi. The aromatic volatile oil is the raw material for the manufacture of various Chinese patent medicines.	itcm_h_7775
7776	龙胆总苷					LONG DAN ZONG GAN	Radix Gentianae	Plant medicine	桔梗科	Campanulaceae		寒	Cold	苦	Bitter	膀胱，肝，胆	Bladder,Liver,Gallbladder	治疗湿热引起的黄疸，外阴肿痛瘙痒伴白带过多，阴茎长时间勃起伴自分泌，湿疹伴瘙痒，眼出血，听力减退，肋痛口苦，抽搐。	Treatment of jaundice caused by damp-heat, swelling and itching of the vulva with excessive leukorrhea, prolonged erection of the penis with spontaneous emission, eczema accompanied by itching, blood-shot eyes, impairment of hearing, pain in the costal regions and bitter taste in the mouth, convulsion.					itcm_h_7776
7777	山羊角					SHAN YANG?JIAO		Animal medicine	牛科	Bovidae						心，肝	Heart、Liver 	镇静，退热，明目，止血。	Calm, reduce fever, improve eyesight, stop bleeding.				1. Antipyretic effect. 2. Calming effect. 3. Anticonvulsant effect. 4. Analgesic effect. 5. The effect on smooth muscle. 6. Cardiovascular effects, blood pressure. 7. Antiviral effect	itcm_h_7777
7778	石榴子					SHI?LIU ZI	Punica granatum L.	Plant medicine	石榴科	Punicaceae		温、润	Warm, Moist	酸、甘	Sour, Sweet			主治培根寒症，胃寒症及一切胃病。	Treats bacon cold syndrome, stomach cold syndrome and all stomach diseases.			semen		itcm_h_7778
7779	炮附片					PAO?FU PIAN	Aconitum carmichaelii Debx.	Plant medicine	毛茛科	Ranunculaceae		热	Hot	辛,甘	pungent,sweet	心,肾,脾	Heart, kidney, spleen	回阳,救逆,补火,助阳,散寒,止痛	Restore yang, save adversity, replenish fire, help yang, dispel cold, relieve pain					itcm_h_7779
7780	柿霜					SHI SHUANG	DiospyroskakiThunb.		柿科	Ebenaceae		凉	Cool	甘	Sweet	心、肺、胃	Heart, Lungs, Stomach	润肺止咳，生津利咽，止血。	Nourishes the lungs and relieves cough, promotes body fluid and pharynx, stops bleeding					itcm_h_7780
7781	悬钩子木					XUAN GOU ZI MU	Rubus chamaemorus	Plant medicine	蔷薇科	Rosaceae														itcm_h_7781
7782	西瓜霜					XI GUA SHUANG						寒	Cold	咸	Salty	肺、胃、大肠	Lungs, Stomach, Large intestine	清热泻火，消肿止痛。	Clearing away heat and purging fire, reducing swelling and relieving pain.	Watermelon frost				itcm_h_7782
7783	汉桃叶					HAN TAO?YE	Schefflera arboricola?Hay.	Plant medicine	五加科	Araliaceae								行气止痛、活血消肿、辛香走窜、温通血脉	Activating Qi and relieving pain, promoting blood circulation and reducing swelling, spice away, warming blood vessels				lupeol、beutlinieacid、3-epi-buetlinic acid、olenoalie acid、3-aceytlolenaolie acid、mesembryanthemoidigenic acid、uqlnatic acid、β-sitosteorl、stigmasetrol、7-oxo-stigmasetrol、Quinatoside A、hederagenin 3-Ο-α-L一arabinoPyranoside、Eleutheroside K、CP3、Sieboldianoside A。	itcm_h_7783
7784	姜黄连					JIANG HUANG LIAN	Coptis chinensis Franch.;Coptis deltoidrea C. Y. Cheng et Hsiao;Coptisteeta Wall.	Plant medicine	毛茛科	Ranunculaceae		寒	Cold	苦	bitter	心,脾,胃,肝,胆,大肠	Heart, spleen, stomach, liver, gallbladder, large intestine	清热,燥湿,泻火,解毒	Clear heat, dry dampness, purify fire, detoxify					itcm_h_7784
7785	广藿香					GUANG?HUO XIANG	Microtoena insuavis?(Hance) Prain ex Briq. Dunn	Plant medicine	唇形科	Labiatae														itcm_h_7785
7786	山甲					SHAN JIA	Zanthoxylum schinifolium	Plant medicine	芸香科	Rutaceae														itcm_h_7786
7787	蕲蛇肉					QI?SHE?ROU	Agkistrodon	animal medicine(including insect)				温	Warm	甘,咸	Sweet,Salty	肝	Liver	治疗慢性风湿性或类风湿性关节炎伴数挛缩、中风偏瘫、抽搐、破伤风、麻风、疥疮、癣。	Treament of chronic rheumatic or rheumatoid arthritis with numbeness and contracture, hemiplegia in stroke, convulsion, tetanus, leprosy, scabies ringworm.					itcm_h_7787
7788	油松节					YOU SONG JIE	Pinus tabulac formis Carr. or Pinus massoniana Lamb.					温	Warm	苦、辛	Bitter，Pungent	肝、肾	Liver, Kidney, Bladder	祛风除湿，通络止痛	Dispel wind and dampness, relieve pain					itcm_h_7788
7789	海星					HAI XING	Craspidaster hesperus(Muller et Troschel)	Animal medicine	槭海星科	Benthopectinidae		平	Neutral	咸	Salty			解毒散结，和胃止痛。	Detoxification Sanjie, and stomach pain.	Star Fish				itcm_h_7789
7790	鸡骨					JI GU	Gallus gallus domesticus	animal medicine(including insect)										温心益气，补精补髓。	To warm center, boost  qi,   supplement essence and replenish marrow.			meat	Vacuity taxation with marked emaciation, weakness during convalescence, reduced food intake, stomach reflux, diarrhea and dysentery, diabetes mellitus, edema, frequent urination, flooding and spotting, vaginal discharge, postpartum scant milk.	itcm_h_7790
7791	颠笳					DIAN JIA	Atropa belladonna?L.	Plant medicine	茄科	Solanaceae		微温	Slightly Warm	苦、辛	Bitter，Pungent	肺、胃	Lungs, Stomach	镇咳平喘，化瘀止痛。	Relieving cough and asthma, removing blood stasis and relieving pain.			root、fructus or herba	Roots and leaves contain Hyoscyamine, Atropine, Scopolamine, Belladonin, etc. The leaves are used as an antispasmodic and analgesic; it cures night sweats radically and has the effect of dilating pupils.	itcm_h_7791
7792	芸香					YUN XIANG	Cymbopogon distans (Nees) Wats.	Plant medicine	禾本科	Poaceae，Gramineae								止咳平喘	cough and asthma				Aromatic oil, has the effect of relieving cough and asthma.	itcm_h_7792
7793	猪蹄甲					ZHU TI JIA	Sus scrofa domestica?Brisson	Animal medicine	猪科	Suidae		微寒	Slightly cold	咸	Salty	胃、大肠	Stomach, Large intestine	化痰定喘，解毒生肌	Relieve phlegm and relieve asthma, detoxify and regenerate muscle					itcm_h_7793
7794	人参茎叶总皂苷					REN?SHEN?JING?YE?ZONG ZAO GAN	Panax ginseng C. A. Mey.	Plant medicine	五加科	Araliaceae		温	Warm	甘,苦	sweet,bitter	脾,肺,心,肾	Spleen, lung, heart, kidney	大补,元气,复脉,固脱,补脾,益肺,生津,养血,安神,益智	Tonic, vitality, rejuvenation, fixation, nourish the spleen, nourish the lungs, nourish fluid, nourish blood, calm the nerves, nourish the mind					itcm_h_7794
7795	三七总皂苷					SAN QI ZONG ZAO GAN	Panax notoginseng (Burk.) F. H. Chen	Plant medicine	五加科	Araliaceae		温	Warm	甘,苦	sweet,bitter	肝,胃	Liver, stomach	散瘀,止血,消肿,定痛	Dispel blood stasis, stop bleeding, reduce swelling, relieve pain					itcm_h_7795
7796	青盐					QING YAN		Mineral medicine				寒	Cold	咸	Salty			凉血，明目	Cool blood, improve eyesight					itcm_h_7796
7797	全鹿干					QUAN LU GAN																		itcm_h_7797
7798	狗骨					GOU GU		Animal medicine	犬科	Canidae		温	Warm	甘	Sweet			健脾和络，活血生肌。	Invigorating the spleen and collaterals, promoting blood circulation and promoting muscle growth.					itcm_h_7798
7799	硫黄					LIU HUANG		Mineral medicine				温	Warm	酸	Sour	肾、大肠	Kidney, Large intestine	外用解毒杀虫疗疮；内服补火助阳通便。	External use to detoxify and kill insects to treat sores; internal use to replenish fire to help yang laxative.					itcm_h_7799
7800	雌黄					CI HUANG																		itcm_h_7800
7801	桃仁霜					TAO REN SHUANG	Prunus persica (L.) Batsch;Prusua davidiana (Carr.) Franch	Plant medicine	蔷薇科	Rosaceae		平	Neutral	苦,甘	bitter,sweet	心,肝,大肠	Heart, liver, large intestine	活血,祛瘀,润肠,通便,止咳,平喘	Invigorate blood, remove blood stasis, moisturize the intestine, laxative, relieve cough, relieve asthma					itcm_h_7801
7802	铜石龙子					TONG?SHI?LONG ZI	Sphenomorphus indicus	Animal medicine	石龙子科	Scincidae										Brown forest skink				itcm_h_7802
7803	玄精石					XUAN JING?SHI	Selenitum	Mineral medicine				寒，温	Cold，Warm	咸	Salty			养阴清热	Nourishes Yin and Clears Heat	Gypsum				itcm_h_7803
7804	羊胆					YANG DAN						寒	Cold	苦	Bitter	肝、胆、胃	Liver, Gallbladder, Stomach	清火，明目，解毒。	Clears fire, improves eyesight, and detoxifies.	Goat or Sheep Gall				itcm_h_7804
7805	颠茄					DIAN?QIE																		itcm_h_7805
7806	灯盏花素					DENG ZHAN HUA SU	ERIGERONTIS HERBA					温		辛、微苦		心、肝		活血通络止痛，祛风散寒。用于中风偏瘫，胸痹心痛，风湿痹痛，头痛，牙痛。	Promoting blood circulation and relieving pain, dispelling wind and dispersing cold. Used for hemiplegia of stroke, chest paralysis and heartache, rheumatic paralysis, headache and toothache.					itcm_h_7806
7807	唐古特乌头					TANG GU TE WU TOU	Aconitum tanguticum(Maxim.)Stapf and Aconitum naviculare(Bruhl.)Stapf	Plant medicine	毛茛科	Ranunculaceae										HERBA ACONITI TANGUTICI		root		itcm_h_7807
7808	安神膏					AN SHEN GAO												小儿心虚多惊，恍惚不宁，腹痛便青；及吐泻之后，欲生慢惊。	The child has a guilty conscience and is more frightened, restless in a trance, and has abdominal pain and diarrhea;					itcm_h_7808
7809	牛蒡草					NIU BANG CAO						寒	Cold	咸	Salty			清热解毒，消肿，止痛	Qingrejiedu, swelling and pain	sdfsadg		herba	(1) The effect of clearing bowels and laxatives. The dietary fiber of cow pedicle can promote large intestine peristalsis, help defecation, lower cholesterol in the body, reduce the accumulation of toxins and wastes in the body, and have the function of preventing and treating constipation. (2) The effect of lowering blood pressure. The burdock glycosides contained in burdock root can dilate blood vessels and lower blood pressure. (3) Antibacterial effect. Burdock contains antibacterial ingredients, mainly anti-Staphylococcus aureus, the minimum inhibitory concentration is 4000μg/ml. (4) hypoglycemic effect. Bovine pedicle contains inulin, and its water extract can significantly and lastingly reduce blood sugar in rats and increase carbohydrate tolerance. (5) Diuretic and laxative effects. Arctium has mild diuretic and laxative effects, and can cause mild tail-lifting reaction in mice. (6) Anti-tumor effect. Arctium has anticancer effect, can inhibit the activity of phosphofructosylase in cancer cells, and arctigenin also has anticancer activity. (7) The effect of treating nephritis. Burdock glycosides and arctiol have anti-nephritis activity and can effectively treat acute progressive nephritis and chronic glomerulonephritis.	itcm_h_7809
7810	红丹					HONG?DAN		Mineral medicine			Pb3O4							主要要用于治疗疱疹，痱子等。	Mainly used for the treatment of herpes, prickly heat and so on.	red lead，lead oxide			Directly kill bacteria, parasites, and have the effect of preventing mucus secretion.	itcm_h_7810
7811	五指毛桃					WU ZHI MAO TAO	Ficus hirta?Vahl	Plant medicine	桑科	Moraceae		平	Neutral	甘	Sweet			健肿补肺，行气利湿。	Invigorating swelling and invigorating the lungs, promoting qi and dampness.			root	The roots contain organic acids, amino acids, triterpenes, coumarin, alkaloid compounds, etc.	itcm_h_7811
7812	莲房炭					LIAN FANG TAN	Receptaculum Nelumbinis	Plant medicine										化瘀止血。	To remove blood stasis and arrest bleeding.	Lotus Receptacle	收敛止血药			itcm_h_7812
7813	单面针					DAN?MIAN ZHEN	Zanthoxylum echinocarpum?Hemsl.	Plant medicine	芸香科	Rutaceae		凉	Cool	辛、苦	Pungent、Bitter							root、fructus and folium		itcm_h_7813
7814	白背叶根					BAI BEI?YE?GEN	Mallotus apelta	Plant medicine	大戟科	Euphorbiaceae								清热解毒，祛湿止血。	To clear heat, resolve toxin, dispel damp, stanch bleeding.			leaf	Phlegmon, suppurative tympanitis, goose-mouth sore, eczema, knocks and falls, bleeding due to external injury.	itcm_h_7814
7815	桃金娘根					TAO JIN NIANG GEN	Rhodomyrtus tomentosa	Plant medicine	桃金娘科	Myrtaceae								祛湿止泻，生肉止血。	To disinhibit damp and check diarrhea, engender flesh and stanch bleeding.			leaf	Headache, diarrhea,  gan  accumulation, bleeding due to external injury, scab sore.	itcm_h_7815
7816	苁蓉					CONG RONG	Cistanche herba	Plant medicine	列当科	Orobanchaceae		温	Warm	咸	Salty	肾、大肠	Kidney, Large intestine	补阳不燥，温通肾阳补肾虚；补阴不腻，润肠通腹治便秘	Nourishes yang without dryness, warms kidney yang and tonifies kidney deficiency; tonifies yin without greasy, moistens intestines and relieves constipation				Cistanche contains trace alkaloids and neutral substances. Cistanche deserticola contains alkaloids.	itcm_h_7816
7817	暴马子皮					BAO?MA ZI PI	Syringa reticulata(Bl．)Haravar．mandshurica(Maxim．)Hara	Plant medicine	木犀科	Oleaceae		微寒	Slightly cold	苦	Bitter	肺	Lung	清肺祛痰，止咳，平喘，利水。	Clear lung and expectorant, relieve cough, relieve asthma, and diuresis.					itcm_h_7817
7818	芜蔚子					WU?WEI?ZI		Plant medicine	唇形科	Lamiaceae		微寒	Slightly cold	辛、苦	Pungent、Bitter	心包、肝	Pericardium, Liver	活血调经、清肝明目	Activating blood and regulating menstruation, clearing liver and improving eyesight					itcm_h_7818
7819	羊骨					YANG GU	Capra hircus L.；Ovisaries L.	Animal medicine	牛科	Bovidae		温	Warm	甘	Sweet	脾、肾	Spleen, Kidney	补肾壮骨，温中止泻。	Invigorating the kidney and strengthening the bones, warming and stopping diarrhea.					itcm_h_7819
7820	篇蓄					PIAN XU	Polygonum aviculare L.	Plant medicine	蓼科	Polygonaceae		寒	Cold	苦	bitter	膀胱	bladder	利尿,通淋,杀虫,止痒	Diuretic, leaching, insecticide, antipruritic					itcm_h_7820
7821	广东紫珠					GUANG?DONG ZI ZHU	Callicarpa kwangtungensis?Chun	Plant medicine	马鞭草科	Verbenaceae		温	Warm	酸、涩	Sour, Astringent			止痛止血	Pain and bleeding			root and herba		itcm_h_7821
7822	草果仁					CAO GUO REN	Amomum tsao-ko Crevost et Lemaire	Plant medicine	姜科	Zingiberaceae	以足干，成个饱满，外皮红棕色或灰棕色，味辛辣，无白色嫩果，无破烂，无烘焦，无霉变为优	温	Warm	辛	pungent	脾,胃	Spleen, stomach	燥湿,除寒,祛痰,截疟						itcm_h_7822
7823	珍珠透骨草					ZHEN ZHU TOU GU CAO	Herba Speranskiae Tuberculatae	Plant medicine	大戟科	Euphorbiaceae		温	Warm	甘、辛	Sweet、Pungent	肺、肝	Lung, Liver	祛风除湿，解毒止痛	Dispel wind and dampness, detoxify and relieve pain.			herba	The sprouting shoots of Impatiens vulgaris contain Indole-3-ace-tonitrile. Stems contain Kaempferol-3-glucoside, Quercetin-3-glucoside, Pelargonidin-3-glucoside, Cyanidin-3-glucoside. The leaves contain 1,2,4-trihydroxynaphthalene-4-glucoside (1,2,4-TrihydroxynaphCha-lene-4-glucdoside), kaempferol and kaempferol-3-arabinoside (KaemPferol-3- arabinoside). The whole herb of Impatiens contains p-hydroxybenzoic acid, gentisic acid, ferukic acid, p-coumaric acid, sinapic acid, and caffeic acid. , and the other contains scopoletin (scopoletin). The leaves contain cinnamate, kaempferol-3-arabinoside and kaempferol. Stems contain kaempferol-3-glucoside, quercetin, pelargonidin, cyanidin, delphinidin. In addition, the aerial part contains lawone (lawsone) and lawone methyl ether.	itcm_h_7823
7824	枫香树叶					FENG XIANG SHU?YE	Liquidambar formosana?Hance	Plant medicine	金缕梅科	Hamamelidaceae		平	Neutral	辛、苦	Pungent、Bitter	脾、肝	Spleen, Liver	行气止痛，解毒，止血	Activating Qi to relieve pain, detoxify, stop bleeding			folium	Hemostasis. 	itcm_h_7824
7825	樟树根					ZHANG SHU GEN	Litsea rubescens?Lec.	Plant medicine	樟科	Lauraceae		温	Warm	辛	Pungent	肝	Liver	祛风散寒、消肿止痛	Dispelling wind and cold, reducing swelling and relieving pain			Radix		itcm_h_7825
7826	姜炭					JIANG TAN	Zingiber offcinale Rose	Plant medicine	姜科	Zingiberaceae		温	Warm	辛、涩	pungent, astringent	脾、肝、肾	Spleen, Liver, Kidney	温经止血，温脾止泻	Warm the meridians to stop bleeding; warm the spleen to stop diarrhea					itcm_h_7826
7827	黄连须					HUANG LIAN XU	Rhizoma Coptidis	Plant medicine	毛茛科	Ranunculaceae		寒	Cold	辛	Pungent	心、肝、胃、大肠	Heart, liver, stomach, large intestine	泻火，燥湿，解毒，杀虫。	Purge fire, dry dampness, detoxify, kill insects.	Golden Thread		Radix	The rhizomes mainly contain berberine 5%-8%, and also contain coptisine, methyl coptisine, tetrandrine, jatrorrhizine, epicoptidine and 5-hydroxyberylalkine, etc.;	itcm_h_7827
7828	鸡骨香					JI GU XIANG	Croton crassifolius?Geisel. (C. chinensis Benth.)	Plant medicine	大戟科	Euphorbiaceae		温	Warm	苦、辛	Bitter、Pungent	心、肾、肝、胃、肺	Heart, Kidney, Liver, Stomach, Lung	行气止痛，祛风消肿、舒筋。	Relieves pain, dispels wind and relieves swelling, and relaxes tendons.			Radix		itcm_h_7828
7829	龟甲胶					GUI?JIA JIAO	Carapax et Plastrum Testudinis	animal medicine(including insect)				平	Neutral	甘,咸	Sweet,Salty	肝，肾	Liver,Kidney	治疗因阴虚、眩晕、震颤、腿软、健忘引起的发热、盗汗。	Treatment of consumptive fever and night sweating due to deficiency of yin, vertigo, tremors, weakness of legs, forgetfulness.					itcm_h_7829
7830	雀脑					QUE?NAO	Passer montanus?(Linnaeus)	Animal medicine	文鸟科	Ploceidae		平	Neutral	甘	Sweet	肾	Kidney	补肾兴阳，润肤生肌。	Invigorating the kidney and rejuvenating the yang, moisturizing and regenerating the skin.					itcm_h_7830
7831	臭灵丹草					CHOU?LING DAN CAO	Laggera pterodonta (DC.) Benth.	Plant medicine	菊科	Asteraceae		寒	Cold	辛、苦	Pungent、Bitter	肺	Lung	清热解毒，止咳祛痰。	Clearing away heat and detoxifying, relieving cough and expectorating phlegm.			Aboveground		itcm_h_7831
7832	海金沙藤					HAI JIN SHA TENG	Lygodium japonicum?(Thunb.) Sw.?	Plant medicine	海金沙科	Lygodiaceae		寒	Cold	甘	Sweet	膀胱、小肠、肝	Bladder, Small Intestine, Liver	清热解毒，利水通淋，活血通络。	Clearing away heat and detoxifying, promoting blood circulation and dredging collaterals.			Aboveground		itcm_h_7832
7833	苦参总碱					KU?SHEN?ZONG JIAN	SophorA flavescens Ait.	Plant medicine	豆科	Leguminosae		寒	Cold	苦	bitter	心,肝,胃,大肠,膀胱	Heart, liver, stomach, large intestine, bladder	清热,燥湿,杀虫,利尿	Clear heat, dampness, insecticide, diuresis					itcm_h_7833
7834	荆芥炭					JING JIE TAN	Nepeta cataria?L.	Plant medicine	唇形科	Lamiaceae		微温	Slightly Warm	辛、涩	Pungent, Astringent	肺、肝	Lung, Liver	收敛止血	Astringent hemostasis.			Aboveground		itcm_h_7834
7835	细梗胡枝子					XI GENG HU ZHI ZI	Lespedeza virgata?(Thunb.) DC.	Plant medicine	豆科	Leguminosae		平	Neutral	甘、微苦	Sweet、Slightly bitter	肺、胆、胃	Lungs, Gallbladder, Stomach	清暑利尿，截疟。	Qingshu diuretic, cut malaria.			herba		itcm_h_7835
7836	荆芥油					JING JIE YOU																		itcm_h_7836
7837	光明盐					GUANG MING YAN	Halite	Mineral medicine				平	Neutral	咸	Salty	肝、肾	Liver,Kidney	祛风明目；消食化积；解毒。	Dispel wind and improve eyesight; digestion and digestion; detoxification.	Bright Salt				itcm_h_7837
7838	南山楂					NAN?SHAN?ZHA	Crataegus cuneata Sieb. et Zucc.	Plant medicine	蔷薇科	Rosaceae		微温	Slightly Warm	酸、甘	Sour, Sweet	脾、胃、肝	Spleen, Stomach, Liver	行气散瘀，收敛止泻。	Activating qi and dissipating blood stasis, astringing and stopping diarrhea.	FRUCTUS CRATAEGI CUNEATAE		fructus		itcm_h_7838
